HOST	PAGEGROUPNAME	FREQ	DURATION	REQUESTSTART
"s.btstatic.com"	Yes2You	40308	28.043	20.492
"s.acexedge.com"	Product Detail Page	40279	683.456	3058.710
"nova.collect.igodigital.com"	myaccount	39982	426.310	1.817
"stats.g.doubleclick.net"	Product Detail Page	39972	636.773	7625.068
"atpixelus.alephd.com"	Product Detail Page	39391	663.389	8.346
"fastlane.rubiconproject.com"	sale event landing	39299	548.006	23.930
"tpc.googlesyndication.com"	myaccount	39246	98.195	3194.372
"www.facebook.com"	NULL	38946	661.951	11.187
"d.tagdelivery.com"	sale event landing	38826	351.754	14.933
"secure.checkout.visa.com"	Product Detail Page	38346	319.428	0.186
"googleads4.g.doubleclick.net"	Product Detail Page	37898	404.997	7931.085
"ing-district.clicktale.net"	checkout	37783	319.633	0.000
"s.thebrighttag.com"	appgrw_home	37740	174.481	5.110
"pmp_m_ratings.png"	Product Detail Page	37690	145.112	2537.304
"fastlane.rubiconproject.com"	NULL	37456	3105.415	0.000
"c.evidon.com"	Product Detail Page	37419	229.430	10.692
"servedby.flashtalking.com"	search	37118	480.469	39.338
"api.bazaarvoice.com"	sale event landing	36396	582.427	25.112
"social.skavaone.com"	NULL	35828	26.374	0.000
"lax1-ib.adnxs.com"	Product Detail Page	35723	638.619	946.083
"ad.tagdelivery.com"	sale event landing	35355	351.281	15.889
"analytics.twitter.com"	product matrix	35310	476.937	28.570
"s.btstatic.com"	d-registry	35096	41.783	9.508
"securepubads.g.doubleclick.net"	appcharge	35082	223.453	1481.441
"s.thebrighttag.com"	ShoppingBag	35078	145.893	0.000
"googleapis.com"	NULL	35017	179.230	0.000
"ds-aksb-a.akamaihd.net"	purchase-history	34747	50.075	1208.452
"s.thebrighttag.com"	appcharge	34736	153.375	0.412
"tagdelivery.com"	Product Detail Page	34571	235.739	94.414
"dpm.demdex.net"	store locator	34376	568.776	63.243
"s.thebrighttag.com"	MyWallet	34279	143.748	12.581
"s.btstatic.com"	wishlist	34252	25.245	1.172
"api"	shoppingBag	34058	635.222	4095.320
"www.masterpass.com"	dsign-in	33877	504.683	36.406
"static.cmptch.com"	Product Detail Page	33661	103.346	5.161
"www.googletagservices.com"	password reset	33562	451.826	3801.230
"pagead2.googlesyndication.com"	myaccount	33009	134.103	3286.270
"masterpass.com"	dsign-in	33006	474.191	427.421
"secure.uac.advertising.com"	Product Detail Page	32998	320.329	13.749
"quantcast584928381.s.moatpixel.com"	Product Detail Page	32909	411.200	5.438
