HOST	PAGEGROUPNAME	FREQ	DURATION	REQUESTSTART
"connect.facebook.net"	Product Detail Page	460978	231.657	1038.417
"apps.zineone.com"	dsign-in	452766	273.199	34.571
"js-sec.indexww.com"	product matrix	446664	322.674	14.929
"db2c8u89pdczb.cloudfront.net"	Product Detail Page	446213	223.244	0.000
"beacon.krxd.net"	Product Detail Page	445219	765.148	2.415
"www.google.com"	homepage	439981	300.728	81.373
"s.btstatic.com"	NULL	434415	131.936	7.756
"d3t1dw6evd1rv7.cloudfront.net"	NULL	426944	62.568	0.023
"www.facebook.com"	shoppingBag	426391	283.197	18.429
"akam"	product matrix	415944	402.721	3765.411
"d2p4r375zfkzm8.cloudfront.net"	sale event landing	402427	364.232	13.653
"b.hlserve.com"	homepage	402113	775.089	10.658
"api"	Product Detail Page	390981	622.894	4921.788
"gum.criteo.com"	shoppingBag	387484	752.868	457.990
"network.bazaarvoice.com"	read_review	385302	195.237	2.416
"fastlane.rubiconproject.com"	product matrix	382889	946.997	68.466
"secure.adnxs.com"	product matrix	382697	1002.563	68.361
"maps.googleapis.com"	shoppingBag	372509	377.091	49.236
"s.thebrighttag.com"	Checkout	369737	160.924	21.606
"dserver-us.adtech.advertising.com"	Product Detail Page	365177	653.143	49.266
"securepubads.g.doubleclick.net"	dsign-in	355897	323.798	4732.879
"adserver-us.adtech.advertising.com"	product matrix	312287	792.600	69.339
"checkout"	directCheckout	311158	421.909	1185.384
"sp.analytics.yahoo.com"	shoppingBag	308676	359.582	18.219
"www.googletagservices.com"	shoppingBag	307955	407.338	2288.994
"6249496.collect.igodigital.com"	shoppingBag	305553	73.669	14.561
"d.impactradius-event.com"	shoppingBag	305397	172.754	18.504
"sc-static.net"	shoppingBag	305153	154.013	19.186
"rp.liadm.com"	shoppingBag	304816	561.192	17.330
"s.yimg.com"	shoppingBag	304483	113.302	16.396
"googleads.g.doubleclick.net"	shoppingBag	303763	468.822	83.337
"js-sec.indexww.com"	search	303210	207.805	13.204
"s.btstatic.com"	store locator	301991	86.972	11.186
"common-rev-dba820b639138b2af1f7.js"	homepage	300420	507.546	1832.270
"ajax.googleapis.com"	store locator	296070	404.421	976.890
"api"	product matrix	294431	564.268	5017.142
"www.googletagservices.com"	sale event landing	286611	263.713	1768.948
"s.thebrighttag.com"	NULL	284948	349.723	8.143
"googleads.g.doubleclick.net"	Product Detail Page	265029	522.546	7225.141
"ds-aksb-a.akamaihd.net"	Shopping cart	264439	116.041	1870.480
"d2p4r375zfkzm8.cloudfront.net"	shoppingBag	263097	536.243	14.897
"adservice.google.com"	sale event landing	259789	226.086	2274.839
"www.bkrtx.com"	shoppingBag	254537	130.213	22.184
"b.hlserve.com"	Product Detail Page	245971	660.247	66.236
"cdns.brsrvr.com"	Shopping cart	244322	148.752	27.395
"as-sec.casalemedia.com"	product matrix	241988	853.163	45.419
"s.btstatic.com"	directCheckout	241684	79.813	6.048
"fastlane.rubiconproject.com"	search	240834	708.269	78.945
"secure.adnxs.com"	search	239493	815.021	79.073
"securepubads.g.doubleclick.net"	NULL	239346	441.737	4880.247
"cdns.brsrvr.com"	sale event landing	239017	194.191	25.183
"apps.zineone.com"	shoppingBag	237560	218.177	3.443
"dpm.demdex.net"	shoppingBag	235740	384.705	26.699
"dserver-us.adtech.advertising.com"	product matrix	235409	841.184	90.647
"stags.bluekai.com"	shoppingBag	230561	686.265	3019.009
"s.btstatic.com"	myaccount	225162	75.936	2.631
"www.google-analytics.com"	NULL	224766	320.857	892.542
"www.google.com"	sale event landing	224632	270.860	6805247.017
"secure.checkout.visa.com"	dsign-in	224232	460.791	145.166
"www.google-analytics.com"	dsign-in	220465	200.668	2177.724
"sb.scorecardresearch.com"	dsign-in	220391	212.730	28.038
"s.btstatic.com"	read_review	219626	7.885	2.263
"static.criteo.net"	product matrix	216607	471.607	3890.029
"checkout"	myaccount	215699	341.817	791.086
"www.hlserve.com"	sale event landing	213704	369.466	65.407
"connect.facebook.net"	dsign-in	209327	145.088	30.960
"adserver-us.adtech.advertising.com"	search	208354	625.285	73.662
"d3t1dw6evd1rv7.cloudfront.net"	appgrw_home	206583	235.897	5.800
"static.curations.bazaarvoice.com"	read_review	205776	30.366	1.780
"pps.nexus.bazaarvoice.com"	Product Detail Page	203800	354.071	7.333
"securepubads.g.doubleclick.net"	store locator	202732	331.976	4623.381
"maps.gstatic.com"	NULL	201857	151.998	12.659
"s.thebrighttag.com"	store locator	200067	209.509	10.340
"ssl.google-analytics.com"	store locator	199659	393.950	600.759
"aps.googleapis.com"	shoppingBag	199470	328.496	85.854
"cm.everesttech.net"	homepage	199124	501.519	48.515
"dpm.demdex.net"	sale event landing	196301	330.423	17.769
"d.doubleclick.net"	Product Detail Page	196116	637.316	7399.313
"catalog"	product matrix	190404	1937.234	-120427427.075
"ds-aksb-a.akamaihd.net"	Product Detail Page	187106	291.220	1895.809
"recs.richrelevance.com"	product matrix	186068	657.219	58.503
"sb.scorecardresearch.com"	Product Detail Page	185442	456.962	47.303
"ds-aksb-a.akamaihd.net"	Checkout	185029	74.552	1602.662
"device.4seeresults.com"	homepage	184855	883.259	0.000
"s.btstatic.com"	password reset	184520	157.692	29.904
"consumer.truefitcorp.com"	Product Detail Page	182873	481.079	6183.501
"s.btstatic.com"	more like this	178020	7.891	3.258
"dpm.demdex.net"	Shopping cart	177922	216.946	26.701
"as-sec.casalemedia.com"	search	177550	668.142	48.613
"ad.doubleclick.net"	Product Detail Page	174384	647.251	7003.009
"sb.scorecardresearch.com"	product matrix	173784	371.803	62.712
"www.google-analytics.com"	product matrix	173177	264.312	2787.865
"maps.googleapis.com"	Product Detail Page	172657	658.712	0.653
"googleads.g.doubleclick.net"	product matrix	172308	456.694	4354.912
"t.co"	shoppingBag	172238	280.049	2.227
"i.w55c.net"	shoppingBag	171669	728.537	2.004
"static.ads-twitter.com"	shoppingBag	171402	217.939	3.698
"nova.collect.igodigital.com"	dsign-in	167982	440.020	29.243
"cdnjs.cloudflare.com"	store locator	165630	291.885	8.630
"curations-static.feedmagnet.com"	Product Detail Page	163351	433.312	6.260
"s.btstatic.com"	search results	162786	32.826	16.232
"maps.gstatic.com"	product matrix	160835	296.346	21.910
